"YEAR","ICAO","NAME","STATE","FLIGHTS_TOTAL","DELAY","A","C","D","E","G","I","M","N","O","P","R","S","T","V","W","NA","DELAY_AVG","A_AVG","C_AVG","D_AVG","E_AVG","G_AVG","I_AVG","M_AVG","N_AVG","O_AVG","P_AVG","R_AVG","S_AVG","T_AVG","V_AVG","W_AVG","NA_AVG"
2014,"EVVA","Ventspils","Latvia",7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,"EYKA","Kaunas","Lithuania",3348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,"EYPA","Palanga","Lithuania",1230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,"EYSA","Šiauliai","Lithuania",1251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,"EYVI","Vilnius","Lithuania",18229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,"GCFV","Fuerteventura","Spain",19572,949,0,929,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0.0484876353975066,0,0.047465767422849,0,0,0,0,0,0,0,0,0,0,0,0,0.00102186797465767,0
2014,"GCGM","La Gomera","Spain",714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,"GCHI","Hierro","Spain",1711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,"GCLA","La Palma","Spain",7195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,"GCLP","Gran Canaria","Spain",49605,1583,0,33,0,0,1014,0,536,0,0,0,0,0,0,0,0,0,0.0319121056345126,0,0.000665255518596916,0,0,0.0204414877532507,0,0.0108053623626651,0,0,0,0,0,0,0,0,0
