"YEAR","MONTH","ICAO","NAME","STATE","FLIGHTS_TOTAL","DELAY","A","C","D","E","G","I","M","N","O","P","R","S","T","V","W","NA","DELAY_AVG","A_AVG","C_AVG","D_AVG","E_AVG","G_AVG","I_AVG","M_AVG","N_AVG","O_AVG","P_AVG","R_AVG","S_AVG","T_AVG","V_AVG","W_AVG","NA_AVG","LABEL"
2014,"APR","EYPA","Palanga","Lithuania",88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Palanga (EYPA) "
2014,"APR","EYSA","Šiauliai","Lithuania",160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Šiauliai (EYSA) "
2014,"APR","EYVI","Vilnius","Lithuania",1489,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Vilnius (EYVI) "
2014,"APR","GCFV","Fuerteventura","Spain",1666,123,0,123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0738295318127251,0,0.0738295318127251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Fuerteventura (GCFV) "
2014,"APR","GCGM","La Gomera","Spain",59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"La Gomera (GCGM) "
2014,"APR","GCHI","Hierro","Spain",138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Hierro (GCHI) "
2014,"APR","GCLA","La Palma","Spain",616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"La Palma (GCLA) "
2014,"APR","GCLP","Gran Canaria","Spain",4328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Gran Canaria (GCLP) "
2014,"APR","GCRR","Lanzarote","Spain",2096,601,0,307,0,0,0,0,0,0,0,0,0,0,0,0,294,0,0.286736641221374,0,0.146469465648855,0,0,0,0,0,0,0,0,0,0,0,0,0.140267175572519,0,"Lanzarote (GCRR) "
2014,"APR","GCTS","Tenerife Sur/Reina Sofia","Spain",2597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Tenerife Sur/Reina Sofia (GCTS) "
2014,"APR","GCXO","Tenerife North","Spain",2088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Tenerife North (GCXO) "
2014,"APR","GEML","Melilla","Spain",331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Melilla (GEML) "
2014,"APR","LATI","Tirana","Albania",712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Tirana (LATI) "
2014,"APR","LBSF","Sofia","Bulgaria",1699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Sofia (LBSF) "
2014,"APR","LCLK","Larnaca","Cyprus",1565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Larnaca (LCLK) "
2014,"APR","LCPH","Paphos","Cyprus",631,1141,0,0,0,0,1141,0,0,0,0,0,0,0,0,0,0,0,1.80824088748019,0,0,0,0,1.80824088748019,0,0,0,0,0,0,0,0,0,0,0,"Paphos (LCPH) "
2014,"APR","LDZA","Zagreb","Croatia",1474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Zagreb (LDZA) "
2014,"APR","LDZL","Lucko","Croatia",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Lucko (LDZL) "
2014,"APR","LEAB","Albacete","Spain",13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Albacete (LEAB) "
2014,"APR","LEAL","Alicante","Spain",3189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Alicante (LEAL) "
2014,"APR","LEAM","Almeria","Spain",410,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Almeria (LEAM) "
2014,"APR","LEAS","Asturias","Spain",488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Asturias (LEAS) "
2014,"APR","LEBA","Cordoba","Spain",11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Cordoba (LEBA) "
