"YEAR","ICAO","NAME","STATE","FLIGHTS_NM","FLIGHTS_APT","DELAY_APT","FLIGHTS_AL","DELAY_AL"
2014,"LROP","Bucharest/ Otopeni","Romania",45620,0,0,35219,6698
2014,"LSGG","Geneva","Switzerland",90563,90251,21725,61576,18591
2014,"LSGS","Sion","Switzerland",2740,0,0,0,0
2014,"LSZH","Zürich","Switzerland",128685,128659,242097,99312,221339
2014,"LTAC","Ankara/ Esenboga","Turkey",44708,0,0,29385,5628
2014,"LTAI","Antalya","Turkey",86288,0,0,24310,25964
2014,"LTBA","Istanbul/ Atatürk","Turkey",214633,0,0,152698,513789
2014,"LTBJ","Izmir/ Adnan Menderes","Turkey",37504,0,0,11718,6367
2014,"LTFJ","Istanbul/ Sabiha Gökçen","Turkey",89852,0,0,22726,37865
2014,"LUKK","Chi<U+0219>inau","Moldova",9639,0,0,2720,366
2014,"LWSK","Skopje","North Macedonia",6440,0,0,3538,139
2014,"LYBE","Belgrade/ Nikola Tesla","Serbia",31079,0,0,17572,2406
2014,"LYPG","Podgorica","Montenegro",5049,0,0,1446,379
2014,"LZIB","Bratislava","Slovakia",8935,0,0,4564,579
2014,"UDYZ","Zvartnots","Armenia",10458,0,0,941,176
2014,"UGTB","Tbilisi","Georgia",10053,0,0,2960,2448
2014,"UKBB","Kiev/Boryspil","Ukraine",36302,0,0,6856,953
2014,NA,"Albania","Albania",9029,0,0,5089,676
2014,NA,"Armenia","Armenia",10458,0,0,941,176
2014,NA,"Austria","Austria",168331,0,0,128148,50698
2014,NA,"Belgium","Belgium",160894,115388,50215,119014,54488
2014,NA,"Bosnia & Herzegovina","Bosnia & Herzegovina",5664,0,0,2349,96
2014,NA,"Bulgaria","Bulgaria",20586,0,0,10768,2161
2014,NA,"Croatia","Croatia",18246,0,0,5069,693
2014,NA,"Cyprus","Cyprus",28578,0,0,16009,4914
2014,NA,"Czech Republic","Czech Republic",68260,60301,15514,48331,25523
2014,NA,"Denmark","Denmark",125866,125982,3566,102652,5074
2014,NA,"Estonia","Estonia",17699,0,0,7565,250
2014,NA,"Finland","Finland",83970,85244,12937,71894,12856
2014,NA,"France","France",885538,327929,122581,573895,193936
2014,NA,"Georgia","Georgia",10053,0,0,2960,2448
2014,NA,"Germany","Germany",972878,25747,3061,750404,415518
2014,NA,"Greece","Greece",193606,74391,24744,127726,39955
2014,NA,"Hungary","Hungary",43194,43379,6235,32346,5336
2014,NA,"Ireland","Ireland",120350,0,0,92022,40793
2014,NA,"Italy","Italy",462133,384434,562981,364242,447009
2014,NA,"Latvia","Latvia",32710,32924,30,27462,748
2014,NA,"Lithuania","Lithuania",24006,0,0,13872,361
2014,NA,"Luxembourg","Luxembourg",29513,29461,1350,19850,3125
2014,NA,"Malta","Malta",19275,19513,1579,15131,2096
2014,NA,"Moldova","Moldova",9639,0,0,2720,366
2014,NA,"Montenegro","Montenegro",5049,0,0,1446,379
2014,NA,"Netherlands","Netherlands",248254,0,0,182560,256755
2014,NA,"North Macedonia","North Macedonia",6440,0,0,3538,139
2014,NA,"Norway","Norway",246302,246173,8502,217747,8828
2014,NA,"Poland","Poland",158792,0,0,100856,16686
