"YEAR","MONTH","NAME","TYPE","FLIGHTS_TOTAL","DELAY","A","C","D","E","G","I","M","N","O","P","R","S","T","V","W","NA","FLIGHTS_DELAYED","FLIGHTS_DELAYED_15","DELAY_AVG","A_AVG","C_AVG","D_AVG","E_AVG","G_AVG","I_AVG","M_AVG","N_AVG","O_AVG","P_AVG","R_AVG","S_AVG","T_AVG","V_AVG","W_AVG","NA_AVG"
2011,"APR","PANSA","ANSP (AUA)",49434,11962,NA,10214,NA,NA,NA,NA,382,NA,NA,NA,NA,1317,49,NA,NA,NA,830,317,0.241979204596027,NA,0.206618926245094,NA,NA,NA,NA,0.00772747501719464,NA,NA,NA,NA,0.0266415827163491,0.000991220617388842,NA,NA,NA
2011,"APR","ROMATSA","ANSP (AUA)",35036,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011,"APR","SES Area","AREA (AUA)",760422,663453,NA,431410,NA,NA,1843,3782,5522,72,1928,54573,5830,94604,11598,NA,52291,NA,40105,18463,0.872480017674397,NA,0.56732971955046,NA,NA,0.00242365423409633,0.00497355415808591,0.00726175728740094,9.46842674199326e-05,0.00253543427202264,0.0717667295264998,0.0076667955424751,0.124409867152713,0.0152520574102275,NA,0.0687657642729958,NA
2011,"APR","Skyguide","ANSP (AUA)",100288,13420,NA,5674,NA,NA,NA,NA,NA,NA,NA,4340,NA,45,NA,NA,3361,NA,815,386,0.133814613911934,NA,0.0565770580727505,NA,NA,NA,NA,NA,NA,NA,0.0432753669432036,NA,0.000448707721761327,NA,NA,0.0335134811742182,NA
2011,"APR","Slovenia Control","ANSP (AUA)",21869,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011,"APR","SMATSA","ANSP (AUA)",42361,235,NA,NA,NA,NA,NA,NA,235,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,7,0.00554755553457189,NA,NA,NA,NA,NA,NA,0.00554755553457189,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011,"APR","UkSATSE","ANSP (AUA)",33470,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011,"AUG","Albcontrol","ANSP (AUA)",24240,32697,NA,32697,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1605,964,1.34888613861386,NA,1.34888613861386,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011,"AUG","ANA LUX","ANSP (AUA)",5388,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011,"AUG","ANS CR","ANSP (AUA)",66584,141,NA,141,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,3,0.00211762585606152,NA,0.00211762585606152,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011,"AUG","ANS Finland","ANSP (AUA)",21912,1771,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1243,NA,NA,528,NA,115,59,0.0808232931726908,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0567269076305221,NA,NA,0.0240963855421687,NA
2011,"AUG","ARMATS","ANSP (AUA)",5163,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011,"AUG","Austro Control","ANSP (AUA)",92225,22224,NA,9118,NA,NA,NA,NA,NA,NA,NA,NA,NA,6862,NA,NA,6244,NA,1110,645,0.240975874220656,NA,0.0988669015993494,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0744049878015722,NA,NA,0.0677039848197343,NA
2011,"AUG","Avinor","ANSP (AUA)",50405,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011,"AUG","Belgocontrol","ANSP (AUA)",50602,9649,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6695,1678,NA,1276,NA,614,245,0.190684162681317,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.132307023437809,0.0331607446345994,NA,0.0252163946089087,NA
2011,"AUG","BULATSA","ANSP (AUA)",63554,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011,"AUG","Croatia Control","ANSP (AUA)",60241,69493,NA,58737,NA,NA,NA,NA,NA,NA,NA,NA,NA,3521,681,NA,6554,NA,4042,2001,1.15358310785014,NA,0.975033614979831,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.058448564930861,0.0113045932172441,NA,0.108796334722199,NA
2011,"AUG","DCAC Cyprus","ANSP (AUA)",28799,40162,NA,40025,NA,NA,NA,NA,NA,NA,NA,NA,NA,137,NA,NA,NA,NA,2213,1209,1.39456231119136,NA,1.3898052015695,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00475710962186187,NA,NA,NA,NA
2011,"AUG","DFS","ANSP (AUA)",258788,282094,NA,77618,NA,NA,NA,22,NA,NA,1474,NA,NA,73196,4594,NA,125190,NA,13927,8018,1.09005827163547,NA,0.299928899330726,NA,NA,NA,8.50116697837612e-05,NA,NA,0.005695781875512,NA,NA,0.28284155370419,0.0177519823175727,NA,0.483755042737685,NA
2011,"AUG","DHMI","ANSP (AUA)",103818,407,NA,407,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,11,0.00392032210214028,NA,0.00392032210214028,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011,"AUG","DSNA","ANSP (AUA)",276917,191934,NA,147192,NA,NA,150,NA,269,NA,NA,NA,NA,7149,1943,NA,35231,NA,11008,5752,0.693110209918495,NA,0.531538330980041,NA,NA,0.000541678553501591,NA,0.000971410205946186,NA,NA,NA,NA,0.0258163998598858,0.00701654286302394,NA,0.127225847456097,NA
2011,"AUG","EANS","ANSP (AUA)",16839,673,NA,673,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51,19,0.0399667438684007,NA,0.0399667438684007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011,"AUG","ENAIRE","ANSP (AUA)",177561,360647,NA,309225,NA,NA,2116,NA,NA,NA,NA,NA,NA,38729,1564,NA,9013,NA,18772,9887,2.03111606715439,NA,1.74151418385794,NA,NA,0.0119170313300781,NA,NA,NA,NA,NA,NA,0.218116590918051,0.00880824054831861,NA,0.0507600204999972,NA
2011,"AUG","ENAV","ANSP (AUA)",166733,6550,NA,6550,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,324,203,0.0392843648228005,NA,0.0392843648228005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011,"AUG","EUROCONTROL Area (MS)","AREA (AUA)",926119,1523501,NA,892816,NA,NA,2847,22,1112,NA,1474,NA,246,401356,15305,NA,208323,NA,76241,43081,1.64503805666442,NA,0.964040258325334,NA,NA,0.00307411898470931,2.37550465976835e-05,0.00120070962802836,NA,0.00159158812204479,NA,0.000265624611955915,0.433374112829993,0.0165259540080702,NA,0.224941935107691,NA
2011,"AUG","HCAA","ANSP (AUA)",83633,378113,NA,132518,NA,NA,NA,NA,NA,NA,NA,NA,246,245349,NA,NA,NA,NA,14544,10406,4.52109813112049,NA,1.58451807300946,NA,NA,NA,NA,NA,NA,NA,NA,0.00294142264417156,2.93363863546686,NA,NA,NA,NA
2011,"AUG","HungaroControl (EC)","ANSP (AUA)",66939,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011,"AUG","IAA","ANSP (AUA)",48337,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011,"AUG","LFV","ANSP (AUA)",62883,6805,NA,3026,NA,NA,NA,NA,NA,NA,NA,NA,NA,1266,NA,NA,2513,NA,469,183,0.1082168471606,NA,0.0481211138145445,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0201326272601498,NA,NA,0.0399631060859056,NA
2011,"AUG","LGS","ANSP (AUA)",22849,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011,"AUG","LPS","ANSP (AUA)",41914,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011,"AUG","LVNL","ANSP (AUA)",51564,13877,NA,7344,NA,NA,581,NA,NA,NA,NA,NA,NA,NA,NA,NA,5952,NA,834,402,0.269121867969902,NA,0.142424947637887,NA,NA,0.0112675510045768,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.115429369327438,NA
2011,"AUG","M-NAV","ANSP (AUA)",17038,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011,"AUG","MATS","ANSP (AUA)",7681,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011,"AUG","MoldATSA","ANSP (AUA)",6467,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011,"AUG","MUAC","ANSP (AUA)",146569,2029,NA,637,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1392,NA,146,53,0.0138433092945984,NA,0.00434607590963983,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00949723338495862,NA
